wbcode2,year,y,unrest,dem,logpop,pop14,pop1564,tradewb,nfagdp,democ,rever,l1,l2,l3,l4
149,2004,935.4423828125,0,1,1616.5347585039183,15.5419716798152,67.4419575643484,62.46852111816406,-72.6,1,0,934.4755859375,936.08941650390625,936.057861328125,934.7568359375
149,2005,935.76373291015625,0,1,1616.7202907705728,15.4391305032354,67.3798160988198,64.021484375,-67.4,1,0,935.4423828125,934.4755859375,936.08941650390625,936.057861328125
149,2006,936.87103271484375,0,1,1616.9006232120505,15.4668366335414,67.0798024334766,67.97715759277344,-86.6,1,0,935.76373291015625,935.4423828125,934.4755859375,936.08941650390625
149,2007,938.982421875,0,1,1617.096927596538,15.4271069346616,66.8349810130991,71.77812957763672,-99.9,1,0,936.87103271484375,935.76373291015625,935.4423828125,934.4755859375
149,2008,938.84136962890625,0,1,1617.2411188763913,15.3125921180684,66.6397919046334,72.633331298828125,-95.1,1,0,938.982421875,936.87103271484375,935.76373291015625,935.4423828125
149,2009,935.7950439453125,0,1,1617.3364497356285,15.1403837110704,66.4641755726488,70.54679870605469,-120.7,1,0,938.84136962890625,938.982421875,936.87103271484375,935.76373291015625
149,2010,937.11688232421875,0,1,1617.382359772347,14.9324264511584,66.2793484680019,66.73692321777344,-116,1,0,935.7950439453125,938.84136962890625,938.982421875,936.87103271484375
150,1992,724.92034912109375,0,0,1530.4528009792452,40.9866091792477,54.8096458667307,88.131256103515625,-6.1,0,0,724.0595703125,724.18988037109375,723.7796630859375,720.83819580078125
150,1993,726.31622314453125,0,1,1532.8856425016804,40.7894534052034,54.9524626467062,99.58385467529297,-4,1,0,724.92034912109375,724.0595703125,724.18988037109375,723.7796630859375
150,1994,727.59539794921875,0,1,1535.2640538737721,40.5412169103087,55.1577843414053,114.50381469726562,-4.6,1,0,726.31622314453125,724.92034912109375,724.0595703125,724.18988037109375
